gender;age;bmi_3;bmi_5;bmi_10;bmi_25;bmi_50;bmi_75;bmi_85;bmi_90;bmi_95;bmi_97
M;16.79166667;17.18854;17.56214;18.18773;19.39908;21.07356;23.26633;24.76269168;25.95504426;28.08463689;29.78168674
M;16.875;17.23437;17.60923;18.23682;19.45168;21.13007;23.32604;24.82315378;26.01519074;28.1420033;29.83462638
M;16.95833333;17.28002;17.65613;18.28573;19.50409;21.18638;23.38556;24.88346091;26.07522093;28.19936732;29.88770757
M;17.04166667;17.32548;17.70284;18.33444;19.55629;21.24248;23.4449;24.94361805;26.13514709;28.25675709;29.94097335
M;17.125;17.37074;17.74935;18.38294;19.60827;21.29836;23.50404;25.00363048;26.19498193;28.31420146;29.99446764
M;17.20833333;17.41579;17.79564;18.43121;19.66002;21.35402;23.563;25.06350375;26.2547386;28.37172995;30.04823522
M;17.29166667;17.46061;17.8417;18.47925;19.71153;21.40944;23.62176;25.1232437;26.31443063;28.42937274;30.10232173
M;17.375;17.50518;17.88751;18.52703;19.76278;21.46461;23.68033;25.18285645;26.37407203;28.48716074;30.15677367
M;17.45833333;17.54951;17.93306;18.57455;19.81376;21.51952;23.7387;25.24234842;26.4336772;28.54512548;30.21163837
M;17.54166667;17.59356;17.97834;18.62179;19.86445;21.57417;23.79687;25.30172632;26.49326098;28.60329919;30.26696403
M;17.625;17.63734;18.02333;18.66873;19.91485;21.62854;23.85484;25.36099716;26.55283865;28.66171476;30.32279966
M;17.70833333;17.68082;18.06802;18.71537;19.96493;21.68262;23.91261;25.42016826;26.6124259;28.72040572;30.37919514
M;17.79166667;17.72399;18.11239;18.76168;20.01469;21.7364;23.97018;25.47924723;26.67203887;28.77940629;30.43620115
M;17.875;17.76683;18.15644;18.80766;20.06412;21.78988;24.02754;25.538242;26.73169411;28.8387513;30.49386923
M;17.95833333;17.80934;18.20014;18.85328;20.11319;21.84304;24.0847;25.59716095;26.79140871;28.89847621;30.55225152
M;18.04166667;17.8515;18.24349;18.89854;20.1619;21.89587;24.14166;25.65601244;26.85119991;28.9586172;30.61140148
M;18.125;17.89329;18.28646;18.94342;20.21022;21.94836;24.19841;25.71480629;26.91108626;29.0192108;30.67137176
M;18.20833333;17.93471;18.32904;18.98791;20.25816;22.00051;24.25495;25.77354888;26.97108394;29.08029503;30.73222122
M;18.29166667;17.97573;18.37122;19.03198;20.30569;22.05229;24.31129;25.83225207;27.03121333;29.14190734;30.79400211
M;18.375;18.01634;18.41299;19.07563;20.35279;22.10371;24.36742;25.89092687;27.09149434;29.20408599;30.85676906
M;18.45833333;18.05652;18.45432;19.11884;20.39947;22.15476;24.42335;25.94958116;27.15194482;29.26687079;30.92058278
M;18.54166667;18.09626;18.4952;19.16159;20.44569;22.20541;24.47907;26.00822631;27.21258528;29.33030127;30.9855
M;18.625;18.13555;18.53562;19.20387;20.49145;22.25567;24.53459;26.06687321;27.27343608;29.39441777;31.05157949
M;18.70833333;18.17437;18.57556;19.24567;20.53674;22.30553;24.58991;26.1255331;27.33451796;29.45926122;31.1188808
M;18.79166667;18.2127;18.615;19.28696;20.58153;22.35497;24.64502;26.18421759;27.39585208;29.52487306;31.18746427
M;18.875;18.25052;18.65393;19.32773;20.62582;22.40399;24.69994;26.24293861;27.45746001;29.59129532;31.25739102
M;18.95833333;18.28782;18.69233;19.36797;20.66959;22.45257;24.75466;26.30170723;27.51936283;29.65857091;31.32872478
M;19.04166667;18.32459;18.73019;19.40766;20.71283;22.50072;24.80919;26.36053932;27.58158516;29.72674204;31.40152344
M;19.125;18.3608;18.76748;19.44678;20.75552;22.54841;24.86352;26.41944523;27.64414785;29.79585303;31.47585441
M;19.20833333;18.39643;18.8042;19.48531;20.79766;22.59565;24.91767;26.47843912;27.70707459;29.86594782;31.55178078
M;19.29166667;18.43148;18.84031;19.52325;20.83922;22.64243;24.97163;26.53753478;27.77038891;29.93707103;31.62936748
M;19.375;18.46591;18.87581;19.56057;20.88019;22.68873;25.02542;26.59674639;27.83411475;30.00926778;31.7086802
M;19.45833333;18.49972;18.91068;19.59726;20.92056;22.73456;25.07902;26.65608851;27.89827645;30.08258369;31.78978539
M;19.54166667;18.53287;18.94489;19.6333;20.96032;22.7799;25.13246;26.71557609;27.96289869;30.15706484;31.87275025
M;19.625;18.56536;18.97844;19.66867;20.99946;22.82474;25.18572;26.77522448;28.0280066;30.23275779;31.95764272
M;19.70833333;18.59716;19.01129;19.70335;21.03795;22.86909;25.23883;26.83505132;28.09362697;30.30970901;32.04452853
M;19.79166667;18.62825;19.04343;19.73733;21.07579;22.91293;25.29179;26.89506944;28.15978336;30.387967;32.13348232
M;19.875;18.65861;19.07484;19.7706;21.11296;22.95626;25.34459;26.95529697;28.22650313;30.46757924;32.22457182
M;19.95833333;18.68822;19.10551;19.80312;21.14946;22.99908;25.39725;27.01575092;28.29381294;30.54859414;32.31786791
M;20;18.70274;19.12055;19.8191;21.16745;23.02029;25.42353;27.04606818;28.32769753;30.58964285;32.36536586
F;2;14.14735;14.39787;14.80134;15.52808;16.4234;17.42746;18.01820579;18.44139317;19.10623522;19.56410958
F;2.041666667;14.13226;14.38019;14.77965;15.49976;16.38804;17.38582;17.97371413;18.39526372;19.05823845;19.51534333
F;2.125;14.10241;14.34527;14.73695;15.44422;16.31897;17.30485;17.88748812;18.30610782;18.9659499;19.42197989
F;2.208333333;14.07297;14.31097;14.69516;15.39015;16.25208;17.22693;17.80489051;18.22103253;18.87853388;19.33410382
F;2.291666667;14.04396;14.27728;14.65429;15.33754;16.18735;17.15202;17.72586396;18.13997016;18.79590999;19.25163039
F;2.375;14.01538;14.2442;14.61434;15.2864;16.12475;17.08009;17.65035137;18.06285334;18.71799839;19.17447582
F;2.458333333;13.98723;14.21175;14.57531;15.23671;16.06429;17.01107;17.57829774;17.98961595;18.64471845;19.10255392
F;2.541666667;13.9595;14.17992;14.5372;15.18848;16.00593;16.94495;17.50964839;17.92019231;18.5759903;19.03577948
F;2.625;13.93221;14.14871;14.50003;15.14171;15.94967;16.88168;17.44434994;17.85451773;18.51173402;18.97406651
F;2.708333333;13.90536;14.11813;14.46378;15.09638;15.89548;16.82123;17.38235043;17.79252859;18.45186978;18.91732801
F;2.791666667;13.87893;14.08818;14.42846;15.0525;15.84336;16.76355;17.32359846;17.73416201;18.39631848;18.86547771
